member_seq,game_seq,member_play_time,member_game_rating
1,140,18,0
1,18,202,0
1,495,424,0
1,246,99,0
1,846,79,0
1,886,418,0
1,24,1214,0
1,1231,28,0
1,478,59,0
1,1268,23197,0
1,1289,1425,0
1,1497,132,0
1,735,3143,0
1,1496,349,0
1,1645,14,0
1,1724,68,0
1,1774,167,0
1,1834,212,0
1,1695,127,0
1,1616,26,0
1,4083,428,0
1,1962,56,0
1,2101,153,0
1,1601,6,0
1,1649,304,0
1,2413,39,0
1,22,129,0
1,2813,42,0
1,2976,415,0
1,3458,44,0
1,2146,16277,0
1,5360,1,0
1,5783,187,0
1,6341,1034,0
1,5788,100,0
1,6679,1419,0
1,7833,19931,0
1,7884,741,0
1,8480,1021,0
1,8771,30,0
1,9485,428,0
1,9532,1064,0
1,9801,22795,0
1,4555,277,0
1,13095,21141,0
1,15295,6752,0
1,15357,2683,0
1,15335,83,0
1,1951,68,0
1,18924,433,0
1,19542,2446,0
1,19604,3588,0
1,22201,51,0
1,22369,1436,0
1,27022,312,0
1,28224,301,0
1,29700,596,0
1,30858,85,0
1,38830,247,0
1,40780,54,0
1,60241,2239,0
